doi,collection_date,abstract_views,full_text_views,pdf_downloads
10.1101/2019.12.11.873422,Jan 2020,54,14,17
10.1101/2019.12.11.873422,Feb 2020,48,22,18
10.1101/2019.12.11.873422,Mar 2020,37,43,14
10.1101/2019.12.11.873422,Apr 2020,23,20,31
10.1101/2019.12.11.873471,Dec 2019,777,19,220
10.1101/2019.12.11.873471,Jan 2020,100,38,44
10.1101/2019.12.11.873471,Feb 2020,82,61,45
10.1101/2019.12.11.873471,Mar 2020,38,65,22
10.1101/2019.12.11.873471,Apr 2020,30,43,65
10.1101/2019.12.11.873505,Dec 2019,783,52,223
10.1101/2019.12.11.873505,Jan 2020,112,29,50
10.1101/2019.12.11.873505,Feb 2020,90,36,37
10.1101/2019.12.11.873505,Mar 2020,92,23,16
10.1101/2019.12.11.873505,Apr 2020,47,35,26
10.1101/2019.12.11.873513,Dec 2019,737,8,151
10.1101/2019.12.11.873513,Jan 2020,47,25,41
10.1101/2019.12.11.873513,Feb 2020,46,18,18
10.1101/2019.12.11.873513,Mar 2020,59,9,21
10.1101/2019.12.11.873513,Apr 2020,67,4,13
10.1101/2019.12.11.873521,Dec 2019,742,14,139
10.1101/2019.12.11.873521,Jan 2020,111,15,32
10.1101/2019.12.11.873521,Feb 2020,114,33,40
10.1101/2019.12.11.873521,Mar 2020,106,26,53
10.1101/2019.12.11.873521,Apr 2020,87,33,43
10.1101/2019.12.11.873554,Dec 2019,316,6,50
10.1101/2019.12.11.873554,Jan 2020,29,15,22
10.1101/2019.12.11.873554,Feb 2020,29,28,11
10.1101/2019.12.11.873554,Mar 2020,36,15,13
10.1101/2019.12.11.873554,Apr 2020,12,4,18
10.1101/2019.12.11.873562,Dec 2019,382,16,82
10.1101/2019.12.11.873562,Jan 2020,51,26,20
10.1101/2019.12.11.873562,Feb 2020,52,54,14
10.1101/2019.12.11.873562,Mar 2020,34,41,17
10.1101/2019.12.11.873562,Apr 2020,23,56,15
10.1101/2019.12.11.873695,Dec 2019,577,7,163
10.1101/2019.12.11.873695,Jan 2020,131,27,71
10.1101/2019.12.11.873695,Feb 2020,123,33,36
10.1101/2019.12.11.873695,Mar 2020,76,32,36
10.1101/2019.12.11.873695,Apr 2020,30,8,20
10.1101/2019.12.11.873711,Dec 2019,251,3,47
10.1101/2019.12.11.873711,Jan 2020,64,26,22
10.1101/2019.12.11.873711,Feb 2020,36,54,13
10.1101/2019.12.11.873711,Mar 2020,42,79,16
10.1101/2019.12.11.873711,Apr 2020,25,67,22
10.1101/2019.12.12.865014,Dec 2019,748,13,106
10.1101/2019.12.12.865014,Jan 2020,72,18,27
10.1101/2019.12.12.865014,Feb 2020,302,30,37
10.1101/2019.12.12.865014,Mar 2020,75,32,22
10.1101/2019.12.12.865014,Apr 2020,62,18,19
10.1101/2019.12.12.866210,Dec 2019,253,3,55
10.1101/2019.12.12.866210,Jan 2020,43,7,30
10.1101/2019.12.12.866210,Feb 2020,33,15,13
10.1101/2019.12.12.866210,Mar 2020,53,23,16
10.1101/2019.12.12.866210,Apr 2020,25,52,29
10.1101/2019.12.12.868489,Dec 2019,4658,118,632
10.1101/2019.12.12.868489,Jan 2020,970,46,172
10.1101/2019.12.12.868489,Feb 2020,218,32,47
10.1101/2019.12.12.868489,Mar 2020,153,21,44
10.1101/2019.12.12.868489,Apr 2020,67,8,30
10.1101/2019.12.12.870840,Dec 2019,321,4,60
10.1101/2019.12.12.870840,Jan 2020,36,11,19
10.1101/2019.12.12.870840,Feb 2020,45,18,12
10.1101/2019.12.12.870840,Mar 2020,36,8,9
10.1101/2019.12.12.870840,Apr 2020,12,11,8
10.1101/2019.12.12.871269,Dec 2019,458,4,56
10.1101/2019.12.12.871269,Jan 2020,101,12,24
10.1101/2019.12.12.871269,Feb 2020,37,15,12
10.1101/2019.12.12.871269,Mar 2020,37,8,18
10.1101/2019.12.12.871269,Apr 2020,31,5,26
10.1101/2019.12.12.871657,Dec 2019,1414,44,781
10.1101/2019.12.12.871657,Jan 2020,295,79,166
10.1101/2019.12.12.871657,Feb 2020,415,89,334
10.1101/2019.12.12.871657,Mar 2020,213,25,135
10.1101/2019.12.12.871657,Apr 2020,110,11,57
10.1101/2019.12.12.871756,Dec 2019,551,11,154
10.1101/2019.12.12.871756,Jan 2020,100,36,69
10.1101/2019.12.12.871756,Feb 2020,82,34,46
10.1101/2019.12.12.871756,Mar 2020,48,16,30
10.1101/2019.12.12.871756,Apr 2020,32,4,33
10.1101/2019.12.12.871947,Dec 2019,344,4,50
10.1101/2019.12.12.871947,Jan 2020,61,24,20
10.1101/2019.12.12.871947,Feb 2020,253,23,34
10.1101/2019.12.12.871947,Mar 2020,97,28,30
10.1101/2019.12.12.871947,Apr 2020,42,12,21
10.1101/2019.12.12.872085,Dec 2019,1117,19,207
10.1101/2019.12.12.872085,Jan 2020,122,44,71
10.1101/2019.12.12.872085,Feb 2020,121,54,48
10.1101/2019.12.12.872085,Mar 2020,149,40,58
10.1101/2019.12.12.872085,Apr 2020,138,66,74
10.1101/2019.12.12.872366,Dec 2019,743,3,197
10.1101/2019.12.12.872366,Jan 2020,96,14,34
10.1101/2019.12.12.872366,Feb 2020,250,42,50
10.1101/2019.12.12.872366,Mar 2020,109,39,27
10.1101/2019.12.12.872366,Apr 2020,265,23,67
10.1101/2019.12.12.872390,Dec 2019,353,5,61
10.1101/2019.12.12.872390,Jan 2020,38,6,16
10.1101/2019.12.12.872390,Feb 2020,41,17,15
10.1101/2019.12.12.872390,Mar 2020,25,8,9
10.1101/2019.12.12.872390,Apr 2020,21,4,11
10.1101/2019.12.12.872622,Dec 2019,750,37,245
10.1101/2019.12.12.872622,Jan 2020,188,25,76
10.1101/2019.12.12.872622,Feb 2020,101,32,42
10.1101/2019.12.12.872622,Mar 2020,79,16,23
10.1101/2019.12.12.872622,Apr 2020,73,30,93
10.1101/2019.12.12.872739,Dec 2019,391,6,70
10.1101/2019.12.12.872739,Jan 2020,83,30,14
10.1101/2019.12.12.872739,Feb 2020,64,37,17
10.1101/2019.12.12.872739,Mar 2020,73,36,19
10.1101/2019.12.12.872739,Apr 2020,20,15,12
10.1101/2019.12.12.873117,Dec 2019,442,21,89
10.1101/2019.12.12.873117,Jan 2020,63,23,17
10.1101/2019.12.12.873117,Feb 2020,42,32,12
10.1101/2019.12.12.873117,Mar 2020,42,23,14
10.1101/2019.12.12.873117,Apr 2020,37,40,24
10.1101/2019.12.12.873315,Dec 2019,543,12,71
10.1101/2019.12.12.873315,Jan 2020,126,7,16
10.1101/2019.12.12.873315,Feb 2020,135,16,13
10.1101/2019.12.12.873315,Mar 2020,100,14,13
10.1101/2019.12.12.873315,Apr 2020,35,3,9
10.1101/2019.12.12.873497,Dec 2019,1010,12,124
10.1101/2019.12.12.873497,Jan 2020,98,9,28
10.1101/2019.12.12.873497,Feb 2020,52,19,15
10.1101/2019.12.12.873497,Mar 2020,49,8,16
10.1101/2019.12.12.873497,Apr 2020,32,4,26
10.1101/2019.12.12.873570,Dec 2019,387,4,57
10.1101/2019.12.12.873570,Jan 2020,26,6,9
10.1101/2019.12.12.873570,Feb 2020,31,15,8
10.1101/2019.12.12.873570,Mar 2020,18,6,9
10.1101/2019.12.12.873570,Apr 2020,9,2,8
10.1101/2019.12.12.873604,Dec 2019,760,5,186
10.1101/2019.12.12.873604,Jan 2020,107,22,42
10.1101/2019.12.12.873604,Feb 2020,95,26,24
10.1101/2019.12.12.873604,Mar 2020,92,20,45
