doi,score,twitter,facebook,blogs,news,wikipedia,policies,published_doi,published_score,published_twitter,published_facebook,published_blogs,published_news,published_wikipedia,published_policies
10.1101/775577,0.25,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775585,7.55,15,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775593,1.5,4,0,0,0,0,0,10.1098/rsos.190810,2.5,6,1,0,0,0,0
10.1101/775627,18.1,32,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775643,1.25,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775650,1.25,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775668,1.75,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775676,10.8,21,0,0,0,0,0,10.1097/j.pain.0000000000001730,0.5,1,0,0,0,0,0
10.1101/775684,9.35,15,0,0,0,0,0,10.1038/s41598-019-52975-z,6.65,10,0,0,0,0,0
10.1101/775692,7.8,14,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775700,0.5,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775718,5.35,10,0,0,0,0,0,10.7554/elife.51184,0.25,1,0,0,0,0,0
10.1101/775726,2.25,6,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775734,3.1,8,0,0,0,0,0,10.1128/aac.02021-19,0,0,0,0,0,0,0
10.1101/775742,1.85,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775759,1.25,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775767,1.6,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775775,8.1,17,0,0,0,0,0,10.1371/journal.pgen.1008433,18.45,30,1,0,0,0,0
10.1101/775783,9.184,5,0,1,0,0,0,10.1371/journal.pcbi.1007406,4.95,10,0,0,0,0,0
10.1101/775809,18.1,34,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775817,16.93,25,0,1,0,0,0,10.1093/bioinformatics/btaa053,10.78,9,0,1,0,0,0
10.1101/775825,1.25,4,0,0,0,0,0,10.1371/journal.pone.0223294,2.1,5,0,0,0,0,0
10.1101/775833,7.684,2,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775841,0.75,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10.1101/775858,1,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
